date,time,timestamp,position_rad,velocity_rad_s,acceleration_rad_s2
2025-12-14,20:58:54.297:,5119.635254,-0.789835,-0.343104,-28.424698
2025-12-14,20:58:54.299:,5119.637695,-0.790602,-0.461012,-33.492805
2025-12-14,20:58:54.301:,5119.639648,-0.791369,-0.555337,-35.396683
2025-12-14,20:58:54.303:,5119.64209,-0.792136,-0.630628,-35.17754
2025-12-14,20:58:54.306:,5119.644043,-0.79367,-0.877729,-50.687721
2025-12-14,20:58:54.307:,5119.645996,-0.795204,-1.075069,-58.539261
2025-12-14,20:58:54.309:,5119.648438,-0.796738,-1.233281,-61.26685
2025-12-14,20:58:54.313:,5119.650879,-0.798272,-1.355976,-60.091991
2025-12-14,20:58:54.313:,5119.652832,-0.800573,-1.645131,-74.480484
2025-12-14,20:58:54.326:,5119.654785,-0.803641,-2.062217,-97.622314
2025-12-14,20:58:54.327:,5119.657227,-0.806709,-2.395206,-108.438538
2025-12-14,20:58:54.328:,5119.659668,-0.809777,-2.647602,-109.31636
2025-12-14,20:58:54.330:,5119.661621,-0.813612,-3.032786,-121.906082
2025-12-14,20:58:54.331:,5119.664062,-0.817447,-3.339708,-124.940872
2025-12-14,20:58:54.333:,5119.666016,-0.821282,-3.577559,-121.020119
2025-12-14,20:58:54.334:,5119.668945,-0.825884,-3.959693,-130.996231
2025-12-14,20:58:54.335:,5119.670898,-0.830486,-4.263441,-131.917267
2025-12-14,20:58:54.336:,5119.672852,-0.835855,-4.690767,-143.739105
2025-12-14,20:58:54.337:,5119.675293,-0.840457,-4.849278,-129.156754
2025-12-14,20:58:54.339:,5119.677246,-0.846593,-5.341643,-147.32579
2025-12-14,20:58:54.351:,5119.679688,-0.851962,-5.552757,-136.726929
2025-12-14,20:58:54.352:,5119.682129,-0.858098,-5.891474,-139.383057
2025-12-14,20:58:54.353:,5119.684082,-0.865001,-6.359648,-153.382477
2025-12-14,20:58:54.355:,5119.686523,-0.872671,-6.917128,-172.570053
2025-12-14,20:58:54.356:,5119.688477,-0.881875,-7.727032,-210.433502
2025-12-14,20:58:54.358:,5119.690918,-0.890311,-8.194877,-210.212128
2025-12-14,20:58:54.359:,5119.693359,-0.899515,-8.751193,-217.929672
2025-12-14,20:58:54.360:,5119.695312,-0.909486,-9.373881,-229.916092
2025-12-14,20:58:54.362:,5119.697266,-0.920224,-10.034202,-242.394165
2025-12-14,20:58:54.363:,5119.700195,-0.930962,-10.532516,-237.512436
2025-12-14,20:58:54.364:,5119.702148,-0.942467,-11.108934,-240.418167
2025-12-14,20:58:54.366:,5119.70459,-0.953204,-11.390113,-216.913071
2025-12-14,20:58:54.377:,5119.706543,-0.965476,-11.976377,-224.84465
2025-12-14,20:58:54.378:,5119.708984,-0.977748,-12.440384,-220.417999
2025-12-14,20:58:54.379:,5119.711426,-0.990787,-12.991623,-224.519623
2025-12-14,20:58:54.380:,5119.713867,-1.004593,-13.614212,-234.085449
2025-12-14,20:58:54.381:,5119.71582,-1.018399,-14.110875,-230.70195
2025-12-14,20:58:54.382:,5119.718262,-1.032204,-14.512434,-219.72435
2025-12-14,20:58:54.384:,5119.720215,-1.047544,-15.18874,-234.948837
2025-12-14,20:58:54.385:,5119.723145,-1.062117,-15.549359,-219.495544
2025-12-14,20:58:54.386:,5119.725098,-1.078224,-16.195576,-232.108582
2025-12-14,20:58:54.388:,5119.727539,-1.094331,-16.712549,-230.896622
2025-12-14,20:58:54.391:,5119.729492,-1.111971,-17.483852,-252.168396
2025-12-14,20:58:54.401:,5119.731934,-1.130379,-18.276005,-270.948578
2025-12-14,20:58:54.404:,5119.734375,-1.14802,-18.741823,-257.566437
2025-12-14,20:58:54.405:,5119.736328,-1.165661,-19.105473,-237.840683
2025-12-14,20:58:54.406:,5119.73877,-1.184835,-19.761787,-247.74321
2025-12-14,20:58:54.407:,5119.740723,-1.204777,-20.455763,-258.830261
2025-12-14,20:58:54.408:,5119.743652,-1.224719,-21.021114,-256.56958
2025-12-14,20:58:54.409:,5119.745605,-1.245427,-21.64193,-259.499023
2025-12-14,20:58:54.410:,5119.748047,-1.266903,-22.319473,-266.825073
2025-12-14,20:58:54.412:,5119.75,-1.288379,-22.861509,-260.840851
2025-12-14,20:58:54.423:,5119.75293,-1.310621,-23.485275,-263.317108
2025-12-14,20:58:54.424:,5119.754883,-1.332864,-23.975203,-253.49823
2025-12-14,20:58:54.425:,5119.757324,-1.355874,-24.546005,-252.715744
2025-12-14,20:58:54.426:,5119.759277,-1.37965,-25.176662,-257.275879
2025-12-14,20:58:54.427:,5119.761719,-1.40266,-25.502483,-234.289124
2025-12-14,20:58:54.428:,5119.76416,-1.42567,-25.770176,-210.851471
2025-12-14,20:58:54.429:,5119.766113,-1.448679,-25.984329,-187.417252
2025-12-14,20:58:54.431:,5119.768555,-1.472456,-26.327322,-179.902603
2025-12-14,20:58:54.432:,5119.770508,-1.497767,-26.964283,-199.624847
2025-12-14,20:58:54.434:,5119.772949,-1.52231,-27.302509,-189.316895
2025-12-14,20:58:54.445:,5119.775391,-1.547621,-27.741856,-189.857925
2025-12-14,20:58:54.447:,5119.777832,-1.573699,-28.277433,-198.74353
2025-12-14,20:58:54.448:,5119.779785,-1.599776,-28.69792,-195.734589
2025-12-14,20:58:54.449:,5119.782227,-1.627388,-29.397346,-217.753113
2025-12-14,20:58:54.449:,5119.784668,-1.655766,-30.13575,-238.776459
2025-12-14,20:58:54.450:,5119.787109,-1.684145,-30.726471,-242.680206
2025-12-14,20:58:54.452:,5119.789062,-1.711757,-31.028645,-220.604202
2025-12-14,20:58:54.453:,5119.791504,-1.740135,-31.386261,-207.499542
2025-12-14,20:58:54.454:,5119.793457,-1.767747,-31.556477,-180.904678
2025-12-14,20:58:54.457:,5119.796387,-1.795358,-31.684193,-155.892609
2025-12-14,20:58:54.459:,5119.79834,-1.823737,-31.965225,-149.290619
2025-12-14,20:58:54.461:,5119.800293,-1.852116,-32.190052,-139.093781
2025-12-14,20:58:54.473:,5119.802734,-1.881261,-32.563667,-144.019577
2025-12-14,20:58:54.474:,5119.804688,-1.911174,-33.026527,-155.693146
2025-12-14,20:58:54.475:,5119.807617,-1.941853,-33.510582,-166.50032
2025-12-14,20:58:54.476:,5119.80957,-1.971766,-33.784061,-157.116257
2025-12-14,20:58:54.477:,5119.812012,-2.003213,-34.360565,-176.108734
2025-12-14,20:58:54.477:,5119.813965,-2.034659,-34.831402,-182.116119
2025-12-14,20:58:54.479:,5119.816895,-2.06764,-35.552799,-208.752121
2025-12-14,20:58:54.480:,5119.818848,-2.099854,-35.957703,-202.426315
2025-12-14,20:58:54.491:,5119.821289,-2.1313,-36.102688,-174.625671
2025-12-14,20:58:54.492:,5119.823242,-2.161213,-35.85165,-117.766289
2025-12-14,20:58:54.493:,5119.825684,-2.188825,-35.120331,-30.25856
2025-12-14,20:58:54.494:,5119.828125,-2.216436,-34.676254,15.478275
2025-12-14,20:58:54.495:,5119.830078,-2.243281,-34.245754,51.501209
2025-12-14,20:58:54.496:,5119.83252,-2.270126,-33.898403,72.749664
2025-12-14,20:58:54.497:,5119.834473,-2.297738,-33.812366,66.021248
